,Street_One,Street_Two,address,address2,address3,longitude,latitude
0,MISSION ST,ITALY AVE,"MISSION ST and ITALY AVE , San Francisco, CA","ITALY AVE and MISSION ST, San Francisco, CA","ITALY AVE , San Francisco, CA",-122.4392105,37.7186961
1,MISSION ST,NEW MONTGOMERY ST,"MISSION ST and NEW MONTGOMERY ST , San Francisco, CA","NEW MONTGOMERY ST and MISSION ST, San Francisco, CA","NEW MONTGOMERY ST , San Francisco, CA",-122.4008211,37.7877045
2,MISSION ST,01ST ST,"MISSION ST and 01ST ST , San Francisco, CA","01ST ST and MISSION ST, San Francisco, CA","01ST ST , San Francisco, CA",-122.397352,37.78947
3,MISSION ST,20TH ST,"MISSION ST and 20TH ST , San Francisco, CA","20TH ST and MISSION ST, San Francisco, CA","20TH ST , San Francisco, CA",-122.4189879,37.7588118
4,MISSION ST,FREMONT ST,"MISSION ST and FREMONT ST , San Francisco, CA","FREMONT ST and MISSION ST, San Francisco, CA","FREMONT ST , San Francisco, CA",-122.3967619,37.790306
5,MISSION ST,13TH ST,"MISSION ST and 13TH ST , San Francisco, CA","13TH ST and MISSION ST, San Francisco, CA","13TH ST , San Francisco, CA",-122.4197788,37.7704024
6,MISSION ST,ERIE ST,"MISSION ST and ERIE ST , San Francisco, CA","ERIE ST and MISSION ST, San Francisco, CA","ERIE ST , San Francisco, CA",-122.4195415,37.7690868
7,MISSION ST,BEALE ST,"MISSION ST and BEALE ST , San Francisco, CA","BEALE ST and MISSION ST, San Francisco, CA","BEALE ST , San Francisco, CA",-122.3961638,37.7910068
8,MISSION ST,FAIR AVE,"MISSION ST and FAIR AVE , San Francisco, CA","FAIR AVE and MISSION ST, San Francisco, CA","FAIR AVE , San Francisco, CA",-122.4192941,37.7453559
9,MISSION ST,SAINT MARYS AVE,"MISSION ST and SAINT MARYS AVE , San Francisco, CA","SAINT MARYS AVE and MISSION ST, San Francisco, CA","SAINT MARYS AVE , San Francisco, CA",-122.427413,37.7345217
10,MISSION ST,SENECA AVE,"MISSION ST and SENECA AVE , San Francisco, CA","SENECA AVE and MISSION ST, San Francisco, CA","SENECA AVE , San Francisco, CA",-122.4426659,37.7200385
11,MISSION ST,ANTHONY ST,"MISSION ST and ANTHONY ST , San Francisco, CA","ANTHONY ST and MISSION ST, San Francisco, CA","ANTHONY ST , San Francisco, CA",-122.3999463,37.7888215
12,MISSION ST,JESSIE EAST ST,"MISSION ST and JESSIE EAST ST , San Francisco, CA","JESSIE EAST ST and MISSION ST, San Francisco, CA","JESSIE EAST ST , San Francisco, CA",-122.4048687,37.7839997
13,MISSION ST,SILVER AVE,"MISSION ST and SILVER AVE , San Francisco, CA","SILVER AVE and MISSION ST, San Francisco, CA","SILVER AVE , San Francisco, CA",-122.4316178,37.7285904
14,MISSION ST,MOUNT VERNON AVE,"MISSION ST and MOUNT VERNON AVE , San Francisco, CA","MOUNT VERNON AVE and MISSION ST, San Francisco, CA","MOUNT VERNON AVE , San Francisco, CA",-122.442655,37.7147454
15,MISSION ST,30TH ST,"MISSION ST and 30TH ST , San Francisco, CA","30TH ST and MISSION ST, San Francisco, CA","30TH ST , San Francisco, CA",-122.4217226,37.742615
16,MISSION ST,MAIN ST,"MISSION ST and MAIN ST , San Francisco, CA","MAIN ST and MISSION ST, San Francisco, CA","MAIN ST , San Francisco, CA",-122.3945072,37.7920791
17,MISSION ST,TRUMBULL ST,"MISSION ST and TRUMBULL ST , San Francisco, CA","TRUMBULL ST and MISSION ST, San Francisco, CA","TRUMBULL ST , San Francisco, CA",-122.4293178,37.7306114
18,MISSION ST,15TH ST,"MISSION ST and 15TH ST , San Francisco, CA","15TH ST and MISSION ST, San Francisco, CA","15TH ST , San Francisco, CA",-122.4310552,37.7660052
19,MISSION ST,KINGSTON ST,"MISSION ST and KINGSTON ST , San Francisco, CA","KINGSTON ST and MISSION ST, San Francisco, CA","KINGSTON ST , San Francisco, CA",-122.422236,37.7417132
20,MISSION ST,TINGLEY ST,"MISSION ST and TINGLEY ST , San Francisco, CA","TINGLEY ST and MISSION ST, San Francisco, CA","TINGLEY ST , San Francisco, CA",-122.4339193,37.7292782
21,MISSION ST,THERESA ST,"MISSION ST and THERESA ST , San Francisco, CA","THERESA ST and MISSION ST, San Francisco, CA","THERESA ST , San Francisco, CA",-122.434915,37.728995
22,MISSION ST,PARK ST,"MISSION ST and PARK ST , San Francisco, CA","PARK ST and MISSION ST, San Francisco, CA","PARK ST , San Francisco, CA",-122.4244135,37.7366399
23,MISSION ST,OLIVER ST,"MISSION ST and OLIVER ST , San Francisco, CA","OLIVER ST and MISSION ST, San Francisco, CA","OLIVER ST , San Francisco, CA",-122.4500978,37.7095923
24,MISSION ST,STEUART ST,"MISSION ST and STEUART ST , San Francisco, CA","STEUART ST and MISSION ST, San Francisco, CA","STEUART ST , San Francisco, CA",-122.3934198,37.7932952
25,MISSION ST,HURON AVE,"MISSION ST and HURON AVE , San Francisco, CA","HURON AVE and MISSION ST, San Francisco, CA","HURON AVE , San Francisco, CA",-122.4540713,37.7085173
26,MISSION ST,SYCAMORE ST,"MISSION ST and SYCAMORE ST , San Francisco, CA","SYCAMORE ST and MISSION ST, San Francisco, CA","SYCAMORE ST , San Francisco, CA",-122.420901,37.762625
27,MISSION ST,02ND ST,"MISSION ST and 02ND ST , San Francisco, CA","02ND ST and MISSION ST, San Francisco, CA","02ND ST , San Francisco, CA",-122.388687443846,37.7794907
28,MISSION ST,MINT ST,"MISSION ST and MINT ST , San Francisco, CA","MINT ST and MISSION ST, San Francisco, CA","MINT ST , San Francisco, CA",-122.4257961,37.770261
29,MISSION ST,GENEVA AVE,"MISSION ST and GENEVA AVE , San Francisco, CA","GENEVA AVE and MISSION ST, San Francisco, CA","GENEVA AVE , San Francisco, CA",-122.4407089,37.7167775
30,MISSION ST,CORTLAND AVE,"MISSION ST and CORTLAND AVE , San Francisco, CA","CORTLAND AVE and MISSION ST, San Francisco, CA","CORTLAND AVE , San Francisco, CA",-122.4228311,37.7412352
31,MISSION ST,22ND ST,"MISSION ST and 22ND ST , San Francisco, CA","22ND ST and MISSION ST, San Francisco, CA","22ND ST , San Francisco, CA",-122.4188388,37.7550569
32,MISSION ST,06TH ST,"MISSION ST and 06TH ST , San Francisco, CA","06TH ST and MISSION ST, San Francisco, CA","06TH ST , San Francisco, CA",-122.4069006,37.7795221
33,MISSION ST,PRECITA AVE,"MISSION ST and PRECITA AVE , San Francisco, CA","PRECITA AVE and MISSION ST, San Francisco, CA","PRECITA AVE , San Francisco, CA",-122.408021,37.748233
34,MISSION ST,17TH ST,"MISSION ST and 17TH ST , San Francisco, CA","17TH ST and MISSION ST, San Francisco, CA","17TH ST , San Francisco, CA",-122.4477017,37.7617361
35,MISSION ST,CASTLE MANOR AVE,"MISSION ST and CASTLE MANOR AVE , San Francisco, CA","CASTLE MANOR AVE and MISSION ST, San Francisco, CA","CASTLE MANOR AVE , San Francisco, CA",-122.4312075,37.7294685
36,MISSION ST,ALLISON ST,"MISSION ST and ALLISON ST , San Francisco, CA","ALLISON ST and MISSION ST, San Francisco, CA","ALLISON ST , San Francisco, CA",-122.4426507,37.7144543
37,MISSION ST,26TH ST,"MISSION ST and 26TH ST , San Francisco, CA","26TH ST and MISSION ST, San Francisco, CA","26TH ST , San Francisco, CA",-122.4182287,37.7487606
38,MISSION ST,VIRGINIA AVE,"MISSION ST and VIRGINIA AVE , San Francisco, CA","VIRGINIA AVE and MISSION ST, San Francisco, CA","VIRGINIA AVE , San Francisco, CA",-122.419807,37.742444
39,MISSION ST,COTTER ST,"MISSION ST and COTTER ST , San Francisco, CA","COTTER ST and MISSION ST, San Francisco, CA","COTTER ST , San Francisco, CA",-122.436044,37.729028
40,MISSION ST,WHIPPLE AVE,"MISSION ST and WHIPPLE AVE , San Francisco, CA","WHIPPLE AVE and MISSION ST, San Francisco, CA","WHIPPLE AVE , San Francisco, CA",-122.448775,37.711633
41,MISSION ST,08TH ST,"MISSION ST and 08TH ST , San Francisco, CA","08TH ST and MISSION ST, San Francisco, CA","08TH ST , San Francisco, CA",-122.4147492,37.7787088
